DAUID,target_priority
35201588,0.5102120221290374
35201589,0.45259381723971187
35201590,0.48272058730898354
35201591,0.4054952062559143
35201592,0.4509516385351456
35201593,0.5305326938823637
35201594,0.5105940652445193
35201595,0.5809234374574608
35201596,0.5237398537461463
35201597,0.6242394090711135
35201598,0.5654045752755464
35201599,0.5096585339232242
35201600,0.6296834701191534
35201601,0.6306807807477185
35201656,0.5188869778714134
35201657,0.6384510272985101
35201658,0.5357193899124315
35201659,0.5300991807665131
35201660,0.5312541975847305
35201661,0.5182633965254579
35201662,0.5523249362582705
35201663,0.7805852707998491
35201664,0.6906331134087179
35201665,0.6667086370988352
35201666,0.5783293802211306
35201667,0.6864537129612817
35201670,0.6123409869152682
35201672,0.4193081357581805
35201858,0.6269172552065615
35202027,0.6172960575316913
35202028,0.6301693601161911
35202029,0.5036783100942923
35202004,0.6084475905182938
35202005,0.6237751159177707
35202006,0.6193819433798493
35202007,0.5849004880772355
35202048,0.7145443915887165
35202049,0.6337312744936063
35201790,0.6332865069706775
35202030,0.5845012044099592
35202031,0.6924792257616308
35202035,0.7319835369253481
35202036,0.7692279512899917
35202037,0.7393235700099522
35202040,0.7743405117124377
35202042,0.7504429790662923
35202045,0.6900586095054971
35202046,0.7457674401999146
35202047,0.6884401060609667
35201846,0.4929904684570445
35201847,0.5622858330336414
35201848,0.5711569176386713
35201849,0.6248180809194778
35201850,0.5656061125503995
35201791,0.6574091611498543
35201792,0.6419134474264252
35201793,0.623963369224498
35201802,0.5960313257621654
35201803,0.571349492028544
35201804,0.5108801527111321
35201805,0.5007396520650476
35201806,0.5608809815108021
35201807,0.5701152908823341
35201816,0.6563895654697471
35201817,0.6779758247861287
35201818,0.6219735145222126
35202121,0.5493930368791828
35201859,0.5337182642035714
35201851,0.5237683749809539
35201852,0.4893899142793647
35201853,0.6826797843534859
35201854,0.7133032530678534
35201855,0.6153832948931424
35201856,0.6786414985818876
35201857,0.6688228194747136
35201992,0.6590518173194668
35201993,0.6874499845546799
35201996,0.6403334427859185
35201997,0.6601552904708746
35201998,0.6350547765983471
35201999,0.6453641835999577
35202370,0.5265045284267692
35202371,0.5264892405988016
35202372,0.5817900309961869
35202373,0.5941841420130838
35202374,0.5746038826600083
35202375,0.556061145637286
35202376,0.5236718767646174
35202377,0.5174698651655564
35202378,0.5710229661831857
35202379,0.5560221928314987
35202380,0.5025420620177451
35202381,0.4496095564845424
35202382,0.460879464453879
35202101,0.6139836115067816
35202102,0.6612911000853187
35202103,0.6376165190835231
35202104,0.713442601057682
35202105,0.6182561780360496
35202106,0.628148099595731
35202107,0.6140574370528917
35202108,0.6318339605637311
35202109,0.6715686608393704
35202110,0.5786183402002417
35202111,0.513260389259091
35202112,0.6037509242787981
35202113,0.5761354611337443
35202114,0.584192309005957
35202115,0.5580429052019952
35202116,0.5308547315669735
35202117,0.5519856621119151
35202118,0.5712690288827619
35202119,0.6452143707897585
35202120,0.5684909524574365
35202162,0.6576759756207883
35202163,0.6498169515404235
35202164,0.651460616522107
35202165,0.6429124126475059
35202166,0.6479537370831707
35202167,0.6101842542204307
35202168,0.6781407946177244
35202169,0.683721647953736
35202170,0.6295610999701602
35202171,0.626275377431029
35202172,0.6202318143589164
35202173,0.43686171007191754
35202174,0.6220498309929073
35202175,0.5998740065034496
35202176,0.5864691752349398
35201317,0.3206751812310379
35202383,0.4636679222870674
35202384,0.4475576805925648
35202385,0.5326937859335981
35202386,0.5875553811471284
35202387,0.5339274896219445
35202388,0.5377692241730878
35202389,0.572050474948543
35202390,0.5213420148664617
35202391,0.5325840664153654
35202392,0.6013261653918308
35202393,0.5551531444989675
35201502,0.3936237999938825
35201503,0.35057131745763587
35201504,0.3171197085707158
35201505,0.43710790519776827
35201506,0.383625213560646
35201507,0.4624249210957396
35201508,0.4356158936633302
35201509,0.3988781059431954
35201181,0.6656320008952888
35201182,0.7097192885063625
35201185,0.696598696360792
35201186,0.70968360204672
35201187,0.6728257286458625
35201188,0.6807258149032914
35201191,0.583245303492299
35201192,0.6097632420833017
35201193,0.6206169214341403
35201194,0.6373386388425416
35201195,0.6371998423331672
35201196,0.7055588047433095
35201197,0.6214575166863417
35201198,0.6617881507827829
35201199,0.6634835063447695
35201200,0.6489688756170766
35201201,0.6386436930822366
35201202,0.6230194088219891
35201203,0.6432821872201889
35201204,0.639158851361589
35201205,0.6816836832495232
35201206,0.6090791700190672
35201209,0.6834355844847942
35201210,0.6277369108316088
35201318,0.28077801677220704
35201319,0.3083302279057852
35201320,0.2628994665858851
35201321,0.32816793512154735
35201322,0.3732402154717661
35201323,0.33922434215031316
35201324,0.33957469935787393
35201325,0.29108328494521474
35201326,0.17469210160889184
35201327,0.24765949170227408
35201328,0.20429009044114735
35201329,0.2461981907260141
35201331,0.1927897087594649
35201332,0.2328192544677747
35201333,0.28424362221935917
35201334,0.32602351359235693
35201337,0.2575145260588403
35201338,0.29708343371117424
35201339,0.3519143119076862
35201347,0.3949572095453604
35201348,0.2775001722112334
35201349,0.3147102992803649
35201350,0.3375349481520367
35201351,0.34498340739281497
35201352,0.33393491671180703
35201353,0.3346256387068401
35201354,0.3468895268855765
35201355,0.43698180042168394
35201356,0.4362488173338046
35201357,0.5119054344870415
35201358,0.41178460482131835
35201654,0.45830140429890537
35201510,0.3869952667303663
35201511,0.4702476107099374
35201512,0.5600858126527559
35201513,0.561890361832737
35201514,0.5211658323847922
35201515,0.5568121606173434
35201516,0.49394246254996366
35202000,0.6114153593510232
35202001,0.6177352914738061
35202002,0.6246610768680145
35202003,0.6400273685410691
35201587,0.5185079106956056
35203472,0.614125812422874
35203640,0.4624697294937193
35203641,0.47730627453028523
35203649,0.3108998713117588
35203542,0.6865482154927347
35203543,0.5927356471479646
35203544,0.6217179182113329
35203545,0.5928573873038119
35203546,0.6059082534946091
35203694,0.5297239476690194
35203695,0.51345952848663
35203696,0.5298740900275566
35203697,0.5314725649784976
35203698,0.4521864592243553
35203699,0.5155916737258109
35203700,0.2670230446653639
35200244,0.608295402222603
35200245,0.606580006913219
35200246,0.5936261186643906
35200249,0.6201590393995962
35200250,0.5653607786380423
35200251,0.574984499496626
35200252,0.5601205409056884
35200253,0.6593470124596945
35200254,0.5631922793623891
35200467,0.5358763815284823
35200468,0.6086666814968892
35200469,0.5676025006693042
35200470,0.6642756674382164
35203794,0.28433657998056344
35203796,0.43716989130370976
35203798,0.2985940148469367
35203799,0.32334264075918256
35203800,0.28965651814239995
35203801,0.15442486590356352
35203889,0.3618437605969831
35203890,0.4421090418189452
35203891,0.5046094428231671
35203892,0.3656746286717147
35203893,0.392201741583258
35203895,0.5145831459102466
35203897,0.4302938337683865
35203898,0.5051886985703109
35203899,0.5140072876124246
35203939,0.6467961357707485
35203940,0.6068083436179995
35203802,0.2429074280752105
35203803,0.27502254669876797
35203807,0.4698857261377811
35203808,0.3763521384914822
35203809,0.3791953023243329
35203810,0.36885844654370975
35203811,0.35768969003716866
35203812,0.3609739081402412
35203813,0.3882343951714611
35203815,0.45243832310761445
35203816,0.42187376424304945
35203817,0.44355245237490964
35203650,0.2939110397307632
35203651,0.4695082019520965
35203652,0.5106370786334865
35203653,0.5011247495100192
35203943,0.52335875540856
35203945,0.6252485188758312
35203692,0.5289150425250716
35203693,0.5551480219060457
35204001,0.4081779225055609
35204003,0.1636911669828364
35204004,0.5928734310943009
35204005,0.25320081093024643
35204006,0.5246765456140453
35204007,0.28799800849439533
35204009,0.5602473574720256
35203654,0.5219401272624912
35203655,0.5144336450028734
35203955,0.5025585226736307
35203958,0.3670257944463812
35203959,0.6350555509795738
35203701,0.38419774493524816
35203703,0.510616619598727
35203704,0.4708256792654305
35204019,0.5900313937325611
35204020,0.5888828177713239
35204021,0.6434416378946196
35204022,0.697025404062884
35204024,0.3192994112643289
35204026,0.553756090253798
35204027,0.553992794063371
35204010,0.7541548585249785
35204011,0.4609990459528106
35204012,0.5649469557976777
35200453,0.4139335809539169
35200454,0.38646097884060765
35200455,0.45914162384928425
35200456,0.5812807258028564
35200459,0.5472634700266258
35200460,0.5771895661828619
35200463,0.5183655068805263
35200464,0.5635117981882581
35200465,0.5208404585600149
35200466,0.49056867455085285
35200935,0.5242295545094053
35200936,0.5624496458947557
35200937,0.5467979620905545
35200938,0.5162881829320707
35200939,0.5810022539135158
35203788,0.24743845699696565
35203789,0.28929137134577293
35203790,0.27722945715770453
35203791,0.3257187989643347
35203792,0.5305123203306592
35203946,0.6893953691330434
35203947,0.6123463000934788
35203948,0.638604741418896
35203951,0.5940584827085822
35203953,0.5087034989026771
35203954,0.714694659797843
35203174,0.0
35203175,0.5350430685789197
35203176,0.6444416195164699
35203177,0.5024432396997016
35203183,0.4602556822652472
35203184,0.5179047032912515
35204013,0.4828816743274967
35204014,0.6126374160847021
35204015,0.49813178320395807
35204018,0.6873128622227529
35203260,0.4158453144175115
35203261,0.4154355866246875
35203263,0.40631289240192114
35203264,0.41308354620536464
35203265,0.4418928239133488
35203266,0.45512699191977385
35203267,0.45835421970872287
35203268,0.47865737956847176
35203269,0.4125655522374294
35203270,0.4589856348859492
35203271,0.4716045828180325
35203273,0.5089124039008914
35203274,0.4745753087657651
35203275,0.5026847423716145
35203276,0.4123004044314578
35203277,0.3347185523308501
35203278,0.3683576860032487
35200940,0.6484897390964709
35200941,0.5565147475525216
35200942,0.603379829176477
35200943,0.5894235727978926
35200944,0.6746674360522413
35200945,0.5947738849707976
35200946,0.6434877202889067
35200949,0.5622820851367872
35200950,0.5777706912030431
35200951,0.5819204990721611
35200952,0.5886140380747027
35200953,0.5203242283228208
35200954,0.5901407209121609
35200955,0.6103866621125974
35200956,0.6065192429661831
35200957,0.6270139519759463
35200958,0.6238238142044361
35200959,0.641009139497033
35200050,0.6248590181129634
35204098,0.5220143626385297
35204100,0.5998164878530711
35204101,0.6285056117559981
35204103,0.6173651993896045
35204105,0.6479384406215853
35204106,0.625593458157479
35204107,0.7109097491094561
35203185,0.44974174475393847
35203190,0.49184643735757566
35203191,0.4663854538231353
35203192,0.49902271971095286
35203193,0.4570473656516262
35203194,0.4422402458191568
35203195,0.4891996231097366
35203196,0.39818744893473257
35203197,0.46182426896163603
35203198,0.437996033486446
35203199,0.49519450053499403
35203200,0.44024030656736224
35203201,0.44438849134407854
35203202,0.49294932864155816
35203203,0.4273748577475398
35203204,0.4412717384958051
35203450,0.6628351709246034
35203451,0.650235729120546
35203452,0.6369097915359125
35203458,0.6097098342444629
35203461,0.5894552443166764
35203462,0.5479874913002272
35203279,0.3320233086007183
35203280,0.4191629875645175
35203281,0.4341650662737912
35203282,0.4696460866181853
35203532,0.6667357320127124
35203533,0.5756629803825896
35203534,0.5851080112299454
35203535,0.616189117153733
35203536,0.5954589457099572
35203537,0.6633381505664423
35203538,0.5876032818781887
35203539,0.6128351855763807
35203540,0.6057543981300578
35203541,0.7086420806917182
35200051,0.6214703301022139
35200052,0.6856113396853057
35200053,0.5958545545179171
35200054,0.6136536893252837
35200055,0.5803511367500939
35200239,0.5432832348104878
35200242,0.6149932147570093
35200243,0.6132343957707627
35203386,0.5466005082637135
35203387,0.5750438926319074
35203388,0.6353379919613331
35203389,0.6587748541487805
35203391,0.5871675900915325
35203392,0.7065417278636245
35203393,0.5325806417274634
35203793,0.2895585513869782
35203463,0.58090084523681
35203465,0.6270006198160646
35203466,0.5920199603284403
35203467,0.6086861740644419
35203468,0.5965786589423865
35203469,0.6633945155180409
35203470,0.6533475389714728
35203471,0.6653164075211556
35201629,0.48790002992889897
35201630,0.5156544561000901
35201631,0.5862666780036813
35201632,0.4668282942261571
35201634,0.513242834790174
35201635,0.5020832991843787
35201636,0.5224592359123482
35201641,0.6286746525472308
35201647,0.5115768174293964
35201648,0.48922329543290594
35201649,0.49576192122395674
35201650,0.5077824059632522
35201652,0.5281473377662163
35201653,0.5136634909842653
35201609,0.5008165631296023
35201610,0.4864510267859502
35201611,0.48539162154957377
35201612,0.48065132785753834
35201613,0.5480032674020752
35201614,0.5501065498311588
35201615,0.46311315972171174
35201621,0.48019542885562777
35201622,0.4750915970581251
35201623,0.45658645732635667
35201624,0.4989067899298966
35201625,0.44762023832762404
35201626,0.5087383111796814
35201627,0.5504787594386238
35202020,0.6605432785140157
35202021,0.7207342005478011
35202022,0.7065188034784188
35202013,0.6830988445254048
35202016,0.5634210382846889
35202017,0.5360776414247173
35202018,0.5505522429990197
35202019,0.6846803225768829
35202023,0.5162854847245697
35202024,0.5563183678001217
35202025,0.6548770339095525
35202026,0.6468020425141879
35202084,0.6237893524766095
35201830,0.6065066419813717
35201831,0.5845856359587648
35201832,0.5952840575689528
35201833,0.6047584054314639
35201834,0.6425090718252098
35201819,0.5867178614029315
35201820,0.5902456883457481
35201821,0.5560745572723371
35201822,0.5841284170320972
35201823,0.6346179369123581
35201824,0.6204329183083347
35201825,0.5035760797297287
35201826,0.6338257879750632
35201827,0.573689057205797
35201828,0.5755711193049909
35201829,0.5403814583523465
35201835,0.7260472918647936
35201838,0.6559933321162397
35201839,0.5658230706423751
35201840,0.6717942423080225
35201841,0.6531301550875848
35201842,0.5954600302383682
35201843,0.5711850548216276
35201844,0.6076813579713372
35201845,0.5451291619332046
35201860,0.5627877289666521
35201861,0.6371988865605066
35201862,0.5834583044737088
35201863,0.5179854403069062
35201864,0.6532041120868709
35201868,0.42059446603905776
35201869,0.605089937589388
35201872,0.6151518411298229
35201874,0.6325242932158248
35202177,0.5958716746338519
35202050,0.6392842456433009
35202051,0.5671044268165549
35202055,0.7315192138398703
35202056,0.6844708449566836
35202057,0.7500668702579985
35202394,0.4970531763264128
35202395,0.5762153669619209
35202396,0.43702724688521327
35202398,0.4298732518578607
35202058,0.7233603040500635
35202059,0.6690012865211042
35202065,0.7084425325320032
35202066,0.7455937580310686
35202067,0.7006235617837888
35202071,0.6766247369454345
35202072,0.6673105331114825
35202075,0.6378386606185801
35202078,0.6255635762586862
35202079,0.628534157641923
35202080,0.615807174985044
35202085,0.6388564607758463
35202086,0.6217749548279663
35202087,0.662831480719883
35202088,0.6774355492240831
35202089,0.6701372336459461
35202090,0.750046921138687
35202091,0.5332472697836689
35202094,0.5285314503973498
35202096,0.7432965855890273
35202097,0.6334927676395268
35202098,0.8997406964564479
35202100,0.568748557175704
35202122,0.5356571165100014
35202123,0.5453961743614953
